날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2023-09-01,676.803,636.803,608.006,588.079,584.287,596.389,626.774,703.674,778.657,820.206,871.409,878.293,871.987,898.994,899.628,886.355,878.849,888.305,881.747,897.276,880.43,836.734,796.892,757.224
2023-09-02,704.337,661.538,632.087,606.112,599.265,609.831,626.341,654.214,714.058,751.493,768.227,796.13,796.739,784.713,800.65,810.46,847.433,893.441,907.304,913.651,890.922,844.842,798.896,754.828
2023-09-03,704.855,659.923,630.403,611.188,600.094,610.799,627.273,655.509,691.637,737.877,763.045,778.447,795.745,807.308,821.586,843.367,879.189,914.057,932.678,936.084,905.501,854.048,800.839,750.348
2023-09-04,690.752,644.835,619.173,601.07,593.155,610.972,649.51,719.76,804.442,859.079,882.712,887.136,888.01,914.186,919.865,928.686,955.411,983.114,981.236,975.885,938.096,879.821,826.798,773.924
2023-09-05,711.801,666.938,637.28,617.405,613.037,625.891,662.059,740.345,798.268,843.262,856.54,848.382,868.211,871.876,871.12,883.988,912.423,947.157,940.253,931.387,891.761,840.697,794.743,747.71
2023-09-06,686.971,648.107,619.392,599.834,595.729,613.722,651.204,710.255,773.785,816.224,835.849,840.661,836.432,859.846,873.315,890.51,923.329,957.28,962.234,961.933,925.986,870.216,817.365,761.155
2023-09-07,702.149,663.569,632.175,611.166,607.044,617.26,650.727,708.418,762.373,803.242,815.226,812.883,804.568,818.788,823.588,832.221,864.669,899.522,903.925,907.825,873.987,827.066,782.153,736.348
2023-09-08,684.362,644.507,616.285,595.609,591.165,601.753,635.088,684.328,737.865,770.289,781.737,779.748,771.02,790.638,803.99,822.944,850.502,876.27,879.596,880.133,842.801,795.606,754.231,718.54
2023-09-09,662.473,622.298,596.612,578.43,573.185,586.628,607.045,628.551,661.553,698.639,719.899,727.044,724.756,737.38,747.231,759.126,791.823,831.716,851.278,854.085,821.198,776.023,733.434,695.312
2023-09-10,645.467,607.854,583.133,566.378,563.318,576.85,590.988,608.678,623.435,662.748,694.69,712.025,721.726,720.78,722.804,741.392,781.787,815.083,838.698,849.793,820.518,771.297,729.706,687.356
2023-09-11,637.339,600.191,577.912,564.598,560.545,575.691,610.196,660.933,727.197,780.767,803.834,807.299,802.355,839.093,850.164,867.88,894.137,912.988,913.476,916.75,881.304,823.407,765.147,727.344
2023-09-12,672.223,630.093,602.681,585.19,582.003,594.577,628.473,685.918,755.298,811.646,854.159,873.872,869.546,882.17,901.416,902.905,902.089,914.211,926.26,931.423,892.575,837.686,788.801,743.169
2023-09-13,684.252,641.291,611.982,593.608,591.27,606.012,640.192,699.052,783.4,825.553,855.443,863.17,871.271,880.462,892.944,930.782,942.369,947.777,956.161,957.588,920.49,863.369,810.284,761.806
2023-09-14,701.109,654.917,623.264,602.374,598.658,614.201,647.658,718.259,798.484,863.755,884.128,876.655,864.651,861.302,861.917,839.242,859.438,870.462,875.108,878.792,854.85,813.849,776.209,735.696
2023-09-15,682.077,642.143,612.467,594.883,592.384,608.041,643.61,705.411,782.126,837.616,864.534,865.485,862.846,884.691,902.962,911.088,941.354,970.142,973.807,970.921,938.131,884.061,831.805,786.607
2023-09-16,725.059,678.914,643.155,622.823,615.762,627.122,645.436,683.109,745.539,795.328,825.963,836.637,884.973,868.468,830.043,795.629,825.164,868.613,889.731,895.822,868.013,825.607,781.669,743.536
2023-09-17,691.396,649.997,618.309,599.467,593.086,602.668,618.088,644.261,700.624,733.021,752.17,757.976,770.061,769.115,781.617,801.301,813.987,837.946,863.353,865.923,836.352,790.115,752.012,711.902
2023-09-18,656.971,618.034,590.505,576.009,573.317,591,624.467,681.228,764.172,819.489,833.669,837.321,826.459,846.966,860.452,876.81,895.108,914.96,918.043,913.636,877.211,822.139,775.325,725.21
2023-09-19,665.352,626.804,598.139,580.062,576.756,591.648,626.129,676.981,733.992,781.099,817.271,806.408,810.542,853.531,870.045,849.078,870.291,897.378,907.841,906.014,869.132,812.565,765.73,720.987
2023-09-20,665.964,628.543,600.674,586.519,582.054,595.328,631.551,696.445,780.627,836.811,857.316,873.154,871.481,908.206,917.965,923.478,924.145,937.328,950.846,955.813,925.331,867.029,797.917,744.413
2023-09-21,683.202,638.399,607.997,588.194,583.331,597.658,626.413,676.932,720.322,738.668,743.973,731.484,747.789,782.262,773.951,788.007,801.359,823.618,828.146,826.6,803.49,758.036,725.783,688.198
2023-09-22,636.678,602.068,576.422,557.327,554.267,570.327,603.948,663.18,731.399,767.951,765.559,754.428,740.79,789.468,786.832,780.986,783.254,798.931,813.562,813.235,791.245,754.798,724.462,685.824
2023-09-23,634.364,596.441,571.671,555.876,550.147,561.823,582.592,601.291,615.865,648.645,652.008,659.929,692.071,690.973,682.009,699.322,718.052,737.215,760.094,764.448,740.896,708.169,681.981,655.875
2023-09-24,610.223,577.072,552.919,540.027,536.44,547.926,569.822,588.448,613.387,614.391,618.336,628.1,621.426,628.975,664.853,673.346,706.234,731.504,760.387,769.142,744.326,712.713,682.884,645.929
2023-09-25,602.777,571.545,549.913,534.572,536.699,554.831,584.915,643.301,690.833,736.533,749.038,751.189,753.898,798.988,828.552,815.374,824.156,846.304,854.047,851.109,818.202,771.383,727.067,686.99
2023-09-26,636.996,600.385,573.228,556.38,553.313,568.481,601.646,648.055,707.049,771.106,781.474,765.052,764.805,792.583,813.832,822.743,829.945,847.513,851.586,850.373,821.192,777.623,738.682,697.871
2023-09-27,645.69,605.478,579.798,564.775,562.49,575.409,604.494,651.267,700.77,728.072,734.548,729.433,735.665,754.365,769.92,784.095,799.633,816.383,826.688,825.547,803.827,768.221,734.218,697.522
