거래일자,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2023-03-01,719558,677891,658335,643624,642982,657330,684143,706310,730218,745476,743549,730000,684764,689075,669898,652269,666540,728533,839064,886699,890760,878580,863469,851374
2023-03-02,810773,770402,753357,745189,747458,766507,813970,855228,788994,709769,674584,631400,605633,613149,616266,629679,683762,796891,936850,978953,965910,938193,919503,904100
2023-03-03,856321,821292,800028,789773,793041,808901,852407,865824,769060,692738,649837,619533,596056,619851,628370,665189,708399,768009,865054,903087,893973,870373,856852,840011
2023-03-04,790244,759508,742663,730903,744389,759889,776725,781368,695928,634570,604157,559394,533740,533754,536267,552314,602201,685248,802757,870927,876629,866548,856821,845892
2023-03-05,799351,766669,746875,736174,734651,748924,769474,750068,637415,564378,535765,515208,509093,525398,560841,623955,658824,713465,810893,854855,855169,841821,830096,818136
2023-03-06,776894,745871,727392,718075,722713,743938,784964,803443,728249,662325,627597,595933,569984,578739,580828,595726,634002,694699,793752,859285,862543,842782,829314,813912
2023-03-07,768781,732205,710823,697382,700632,724010,756337,767587,701811,650387,612734,567132,532537,538709,545582,575511,625289,689908,777101,833961,835739,819619,802024,791594
2023-03-08,752580,720930,703335,690231,688082,705480,740971,750378,669292,662752,628148,599912,564179,571726,576165,589161,631674,686384,749481,786974,780778,762904,740713,722821
2023-03-09,678247,641795,624721,619898,618872,636754,669118,692315,690285,657993,619214,585226,555915,570000,580576,589840,627754,683023,757789,813477,820464,804652,778531,746137
2023-03-10,701278,687607,681541,677744,685953,710823,746378,748893,663854,612634,580031,546990,519236,534573,548965,577532,622698,672552,745074,808014,815089,804853,794349,784094
2023-03-11,745695,717476,697381,685130,687949,706998,722884,696051,611965,555203,546444,521926,497104,503657,502077,533238,587878,641727,708749,753551,747224,736830,721959,698896
2023-03-12,655420,627633,604812,597409,590821,595969,605592,601822,574044,570544,593814,621358,648738,680899,727420,745136,782196,801445,832463,853659,851018,835613,835914,825766
2023-03-13,785873,757226,739496,733371,737360,762306,805495,825135,715285,650916,612728,582245,557265,564587,567375,584489,631979,706572,842447,929143,928721,908879,891247,873431
