날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-10-01,613.852,577.28,554.625,541.855,539.678,555.553,590.366,623.648,650.19,664.266,664.856,659.295,648.339,671.578,694.775,732.071,770.618,798.136,816.232,810.705,784.436,745.343,713.652,674.715
2025-10-02,627.609,588.684,565.458,550.7,549.917,564.507,595.379,636.638,657.307,679.189,691.253,699.104,704.394,741.07,751.847,759.862,787.035,806.258,816.484,810.851,797.757,764.38,728.101,686.952
2025-10-03,636.252,599.055,571.249,553.247,549.57,561.843,584.391,630.773,689.364,747.229,786.434,787.538,769.372,783.648,789.593,805.051,805.504,829.695,859.069,860.483,841.233,802.911,766.099,718.449
2025-10-04,666.207,623.226,594.946,576.19,572.351,584.115,608.694,639.979,673.451,713.674,713.95,693.649,703.573,738.926,738.399,750.287,768.896,810.186,826.649,824.973,803.197,770.443,735.897,690.369
2025-10-05,638.676,599.107,572.18,558.808,553.71,563.456,582.813,594.477,598.329,603.132,616.923,626.54,634.678,656.66,683.98,706.112,743.792,785.142,810.141,807.153,790.707,754.854,720.076,673.947
2025-10-06,622.389,583.234,557.938,542.385,537.881,550.045,579.872,592.101,590.553,588.129,584.561,587.816,601.986,620.715,645.086,689.761,722.834,758.358,792.886,792.899,783.556,761.326,731.453,687.121
2025-10-07,637.162,597.011,573.589,559.408,557.76,571.548,596.313,628.594,665.484,699.61,720.437,705.309,664.816,679.587,689.178,702.828,727.167,761.337,788.89,788.717,767.85,742.236,707.291,663.896
2025-10-08,619.077,579.128,554.659,539.912,537.995,550.348,573.308,598.485,621.387,642.048,653.002,658.199,656.158,672.282,671.099,698.312,735.939,773.886,803.031,799.484,778.984,744.811,709.854,669.757
2025-10-09,623.78,586.463,560.36,544.967,540.746,555.077,574.232,596.882,617.598,637.051,659.613,665.075,663.477,682.348,686.691,701.903,731.208,768.47,792.678,788.142,763.192,730.576,698.699,658.779
2025-10-10,613.249,576.844,553.147,539.163,536.327,552.341,582.558,614.169,642.249,670.137,679.711,680.885,686.062,712.947,739.029,761.367,795.509,828.665,840.565,832.408,804.367,764.527,731.172,688.276
2025-10-11,640.23,601.754,574.519,559.008,553.604,566.445,587.184,602.619,617.082,640.8,661.52,675.874,685.311,716.967,740.932,756.921,796.505,826.956,847.477,837.827,805.03,763.893,730.057,688.496
2025-10-12,641.295,603.058,578.395,560.931,556.935,569.19,586.139,590.72,601.533,620.315,633.893,644.752,669.032,701.618,723.511,748.104,777.528,818.384,845.984,835.107,806.084,762.27,727.116,685.39
2025-10-13,637.541,601.951,578.378,563.348,562.795,581.216,614.519,668.123,715.684,770.196,786.303,784.872,771.687,802.846,824.745,845.913,883.814,902.339,911.79,897.824,859.145,812.359,767.715,721.753
