날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2026-01-01,809.105,769.065,740.604,724.859,719.748,733.715,752.606,771.634,777.034,723.391,709.945,746.391,736.513,741.109,758.38,774.406,823.743,902.29,934.775,925.273,910.83,876.505,850.68,821.511
2026-01-02,765.418,735.144,714.041,696.817,701.197,724.537,773.419,849.576,941.699,1000.227,1005.673,974.536,938.045,947.334,948.059,954.11,980.498,1006.402,995.13,974.239,939.423,895.526,872.518,848.877
2026-01-03,795.222,752.973,725.826,711.81,711.192,725.022,757.67,790.13,809.784,805.582,804.224,784.33,751.847,737.775,726.417,756.912,817.209,891.673,915.33,907.114,890.289,862.617,850.895,831.726
2026-01-04,780.812,737.754,713.246,696.144,691.166,704.392,725.07,747.281,763.84,745.9,727.111,711.811,702.856,682.059,693.353,724.809,763.082,834.389,863.618,857.142,837.709,808.993,790.34,765.744
2026-01-05,716.115,675.508,650.27,639.72,640.631,659.032,705.84,781.397,860.887,866.479,871.518,850.095,831.723,834.434,854.476,841.716,867.93,930.413,953.114,951.911,931.423,900.918,880.878,856.284
2026-01-06,804.834,768.25,739.801,724.793,725.837,742.044,784.312,858.3,877.366,798.992,741.33,698.98,659.725,691.36,687.411,732.94,793.741,886.783,925.769,921.618,902.628,873.353,848.893,813.471
2026-01-07,762.563,719.932,696.765,691.104,688.349,702.97,747.94,818.019,865.211,891.945,872.06,828.305,833.011,833.58,827,841.59,850.348,915.381,933.974,936.214,913.083,883.375,857.515,832.631
2026-01-08,782.395,745.346,720.678,703.295,703.238,723.158,769.437,833.024,904.154,891.38,877.465,852.495,828.704,838.047,846.951,854.172,892.175,964.816,985.825,975.205,963.92,919.2,884.801,850.541
2026-01-09,795.189,747.737,722.56,709.429,705.527,727.648,771.368,837.247,879.361,814.221,758.693,719.124,677.721,709.228,721.549,734.379,795.125,885.406,914.621,907.746,881.589,849.313,831.901,812.147
2026-01-10,759.887,716.606,687.792,670.231,677.243,687.234,714.095,739.42,749.883,706.653,686.523,660.956,634.647,637.878,644.19,683.569,771.269,862.101,905.156,902.666,882.894,859.753,845.283,836.542
2026-01-11,802.39,770.298,752.625,738.222,737.439,753.089,780.813,815.394,845.118,874.985,840.658,795.93,765.433,748.274,771.857,812.737,876.417,943.501,978.726,968.623,947.337,914.783,890.427,862.292
2026-01-12,808.616,770.53,755.423,745.25,749.016,768.257,818.397,894.378,955.443,914.686,840.123,786.111,763.73,765.629,762.117,781.053,828.895,895.896,938.669,928.48,895.979,857.575,829.703,797.136
2026-01-13,745.552,706.054,689.884,679.421,687.501,711.804,753.923,821.834,853.179,781.072,747.949,711.004,681.144,694.143,712.278,731.04,779.254,881.346,935.44,941.141,947.191,923.088,905.056,881.659
2026-01-14,833.803,793.342,769.601,756.414,758.797,781.12,826.568,894.364,913.943,822.201,770.16,702.346,658.784,668.191,676.296,695.998,787.597,853.731,893.559,895.357,866.092,829.694,804.868,774.569
2026-01-15,721.317,681.018,651.439,637.704,636.034,651.308,689.09,740.562,781.808,787.373,756.387,734.325,658.219,653.432,647.209,675.886,754.281,794.536,852.917,862.49,856.286,830.548,813.904,797.32
2026-01-16,752.003,712.198,690.887,677.814,687.042,714.195,758.899,824.402,831.137,731.761,696.689,650.145,603.564,599.689,613.879,651.916,715.741,788.857,851.29,860.435,848.517,830.92,820.389,799.227
2026-01-17,743.691,705.15,677.403,667.575,672.321,691.058,723.04,754.196,740.465,656.489,637.675,628.107,608.886,587.328,587.959,623.727,686.693,770.031,845.72,858.032,853.405,837.303,820.899,793.696
2026-01-18,748.944,719.608,698.104,688.682,689.501,704.687,730.548,757.579,727.455,633.217,591.622,580.963,557.543,540.717,572.226,637.05,681.743,745.407,805.332,807.316,799.442,791.086,783.032,759.276
2026-01-19,712.109,677.188,655.076,640.27,639.471,656.313,698.845,771.285,816.346,826.794,791.603,792.576,769.285,807.421,815.275,837.669,858.318,935.841,965.422,957.257,932.379,894.565,878.533,855.111
2026-01-20,803.689,764.518,739.092,726.166,730.363,750.717,790.589,855.989,937.352,936.404,883.962,836.703,762.288,724.894,730.676,769.433,865.031,963.242,1009.886,1001.665,988.635,962.963,942.494,913.355
2026-01-21,857.224,812.497,792.178,777.63,778.567,793.422,838.623,904.717,968.237,964.056,955.139,932.398,908.203,897.37,902.913,926.574,958.732,1019.115,1020.624,1029.618,1021.052,979.85,953.584,921.949
2026-01-22,872.025,828.762,797.933,780.703,781.108,797.944,847.69,909.932,994.287,1024.08,1034.679,987.498,924.185,913.407,895.433,893.9,916.045,993.255,1017.578,1001.967,990.266,956.939,932.053,904.821
2026-01-23,851.759,819.937,797.111,780.616,772.575,795.005,836.892,904.439,937.775,903.877,878.737,833.168,797.768,798.024,834.709,844.393,880.46,947.548,984.83,983.701,957.995,925.988,905.311,869.296
2026-01-24,814.576,776.139,747.678,731.923,734.944,746.954,780.201,819.652,807.911,744.968,715.853,686.171,652.69,638.578,632.57,671.017,744.084,864.153,953.071,962.752,951.367,929.854,915.696,899.77
2026-01-25,858.704,821.346,796.044,774.585,767.446,772.275,791.526,811.356,809.399,748.957,680.388,616.278,589.885,590.018,615.199,655.594,732.192,856.5,946.73,958.976,952.347,938.995,912.978,884.727
2026-01-26,834.013,804.41,767.11,735.687,723.34,733.724,782.53,859.363,906.11,936.16,940.496,905.027,864.501,859.043,852.106,899.458,939.694,969.418,986.337,973.86,940.406,897.734,875.106,847.285
2026-01-27,797.586,764.876,739.757,726.779,714.053,733.409,774.12,837.647,921.706,944.453,907.674,823.558,779.417,761.658,742.679,765.56,841.174,945.387,1012.118,1013.213,992.853,956.981,934.589,911.205
2026-01-28,855.262,815.258,793.065,774.479,776.472,792.082,834.072,896.574,927.785,912.686,835.713,813.607,757.137,728.315,713.303,727.833,781.049,897.725,978.666,994.258,992.054,966.605,943.612,914.094
2026-01-29,859.974,817.427,797.544,782.464,782.074,807.034,855.578,917.053,929.41,836.44,802.226,745.738,703.771,752.088,800.259,828.166,841.201,900.227,957.577,960.803,950.643,932.998,915.452,891.724
2026-01-30,849.913,808.407,777.486,764.505,768.646,783.374,832.829,894.577,937.21,902.17,887.437,878.623,832.482,817.356,816.882,853.843,895.047,947.069,998.892,1012.128,986.366,950.106,922.69,885.457
2026-01-31,827.976,787.418,751.603,730.252,727.113,741.452,770.702,805.186,820.095,729.182,666.896,630.547,601.705,597.808,613.442,668.711,742.461,867.262,947.786,948.586,927.384,895.043,879.836,865.249
2026-02-01,817.979,779.039,752.13,729.444,728.363,744.003,769.613,798.502,800.299,756.815,718.685,712.951,688.085,661.865,642.596,660.63,722.867,828.785,927.464,951.061,941.7,920.167,911.168,891.791
2026-02-02,850.912,813.997,786.421,770.148,758.449,746.524,786.736,861.69,909.89,917.583,895.232,815.368,740.097,751.355,764.464,828.97,863.058,931.701,999.342,1001.112,977.616,949.011,924.059,895.723
2026-02-03,845.342,802.985,781.104,768.959,772.718,790.592,837.393,893.08,873.603,787.442,764.593,720.422,660.43,665.965,683.946,720.77,776.787,837.628,923.256,972.287,958.849,928.602,915.628,891.969
2026-02-04,846.531,816.729,796.534,781.417,776.177,782.018,813.861,866.812,881.376,812.435,761.234,700.412,659.789,683.837,693.62,700.967,764.976,846.765,920.107,935.189,911.992,879.5,863.075,835.588
2026-02-05,772.15,725.269,689.02,665.478,662.652,675.415,711.585,766.745,802.36,764.126,752.432,728.962,706.882,693.257,670.999,679.806,712.032,768.158,831.846,854.22,860.129,847.405,835.132,807.693
2026-02-06,762.963,719.684,684.207,670.252,669.963,692.557,741.083,800.835,853.567,885.23,895.413,844.194,774.383,776.204,803.477,799.09,824.98,889.961,944.321,949.676,924.165,892.988,872.801,850.344
2026-02-07,796.136,762.679,732.536,725.095,743.31,757.375,791.535,836.645,857.683,846.484,835.442,819.613,820.238,820.283,806.233,828.949,871.416,949.745,1007.134,1008.797,988.611,953.977,930.336,913.248
2026-02-08,854.254,816.75,792.39,781.182,779.388,795.009,822.369,848.542,886.706,917.118,916.114,896.453,864.196,820.883,826.191,854.211,899.162,961.867,1002.882,995.078,970.542,936.631,914.549,887.814
2026-02-09,847.396,809.681,782.723,773.667,770.694,789.068,832.506,902.972,923.134,868.153,801.844,742.705,693.885,700.365,742.338,797.379,821.16,891.342,956.29,968.741,946.273,901.719,879.1,846.869
2026-02-10,792.254,762.013,733.271,698.56,703.714,717.727,748.986,806.185,893.979,950.512,973.581,955.525,929.394,946.317,912.699,885.116,895.535,911.061,916.465,902.611,889.939,862.05,840.439,813.488
2026-02-11,764.69,729.835,702.434,692.131,694.728,717.307,758.305,822.03,846.105,812.138,820.599,778.936,724.396,701.775,727.625,757.282,785.567,841.074,906.889,922.128,918.896,899.482,890.721,872.278
2026-02-12,829.894,796.249,771.105,753.373,755.94,774.994,819.929,870.219,843.183,765.503,738.482,686.113,656.422,650.082,659.034,678.471,699.471,765.516,873.963,912.237,918.976,904.584,889.215,862.274
2026-02-13,817.176,786.277,768.35,752.94,750.764,769.454,811.526,853.568,814.475,730.383,706.503,649.384,596.743,603.729,609.851,634.575,685.181,760.585,848.94,886.614,879.95,858.605,847.8,824.725
2026-02-14,780.003,739.534,707.621,687.982,666.198,663.603,686.91,711.717,753.833,762.785,745.068,723.255,735.412,701.331,689.71,699.346,715.876,744.277,783.866,797.863,783.225,764.92,747.781,733.566
2026-02-15,703.793,676.365,651.327,640.812,640.274,657.295,689.587,708.281,643.976,573.077,538.521,507.674,488.445,489.416,514.063,558.656,642.39,705.145,771.6,802.423,797.937,784.631,778.658,763.93
2026-02-16,721.748,686.473,665.629,656.052,662.325,675.358,694.421,717.238,734.597,767.79,692.196,663.051,658.473,664.856,642.413,632.014,643.694,740.838,823.943,835.971,828.745,817.59,811.715,785.354
