일자,제어지역,누적 시행회차,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-03-28,"경남, 전남, 충남",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,0,0,0,0,0,0,0,0,0
2025-03-29,"경남, 전남, 전북, 부산",44,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-30,"경남, 전남, 전북, 충남, 광주, 부산, 울산",45,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-04-01,전남,46,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2025-04-02,전남,47,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-04-04,"전남, 전북",48,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2025-04-06,"전남, 전북, 충남, 강원, 경남, 충북, 광주, 부산, 울산, 대전, 세종",49,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2025-04-07,"전남, 전북, 광주 ",50,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-04-08,"전북, 전남, 광주",51,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-04-13,"전남, 전북, 경남, 경북, 광주, 대구",52,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-04-25,"전남, 경남, 전북, 경북  광주, 부산, 울산, 대구 ",53,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-04-26,"전남, 전북, 충남, 강원, 충북, 경남, 경북, 광주, 부산, 울산, 대전, 대구, 세종",54,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2025-04-27,"전남, 전북, 경북, 충남, 강원, 충북, 대전, 대구, 세종",55,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-04-28,"전남, 경남, 전북      ",56,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
