일자,제어지역,누적 시행회차,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-06-01,전남,43,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-06-03,전남,44,0,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2025-06-04,전남,45,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2025-06-05,전남,46,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-06-06,전남,47,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-06-07,전남,48,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-06-08,전남,49,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-06-11,전남,50,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-06-14,전남,51,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-06-15,전남,52,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-06-21,전남,53,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-06-22,전남,54,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-06-28,전남,55,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-06-29,전남,56,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-07-05,전남,57,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-07-06,전남,58,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-09-20,전남,59,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
